obstacle_name,obstacle_order,location
Quintuple Steps,1,Venice
Floating Boards,1,Las Vegas
Quintuple Steps,1,Venice
Floating Steps,1,Indianapolis
Quad Steps,1,Venice
Floating Steps,1,Indianapolis
Quintuple Steps,1,Venice
Psycho Chainsaw,1,Las Vegas
Quad Steps,1,Southwest
Floating Steps,1,Los Angeles
Quad Steps,1,Southwest
Rope Climb,1,Las Vegas
Downhill Jump,1,Sasuke 23 (Japan)
Heavenly Ladder,1,Sasuke 23 (Japan)
Quintuple Steps,1,Venice
Floating Steps,1,Daytona Beach
Rope Climb,1,Sasuke 27 (Japan)
Archer Steps,1,Miami
Arm Bike,1,Sasuke 27 (Japan)
Floating Steps,1,Los Angeles
Rope Climb,1,Las Vegas
Floating Steps,1,Philadelphia
Step Slider,1,Sasuke 27 (Japan)
Rope Climb,1,Las Vegas
Quintuple Steps,1,St. Louis
Floating Steps,1,Los Angeles
Quintuple Steps,1,Kansas City
Archer Alley,1,Las Vegas
Slider Drop,1,Sasuke 27 (Japan)
Floating Steps,1,Atlanta
Quintuple Steps,1,Venice
Floating Steps,1,San Antonio
Quintuple Steps,1,Denver
Floating Steps,1,Miami
Rope Jungle,1,Las Vegas
Archer Steps,1,Los Angeles
Roulette Cylinder,1,Las Vegas
Floating Steps,1,Los Angeles
Hang Slider,1,Las Vegas
Floating Steps,1,Philadelphia
Cannonball Incline,1,Las Vegas
Floating Steps,1,Atlanta
Piston Road,1,Las Vegas
Quad Steps,1,Venice
Quintuple Steps,1,Miami
Step Slider,1,Sasuke 26 (Japan)
Timbers,1,Las Vegas
Archer Steps,1,Dallas
Rope Climb,1,Las Vegas
Floating Steps,1,Dallas
Quintuple Steps,1,Miami
Floating Steps,1,Kansas City
Quintuple Steps,1,Houston
Floating Steps,1,Cleveland
Quintuple Steps,1,Pittsburgh
Rope Climb,1,Las Vegas
Quintuple Steps,1,Denver
Snake Run,1,Las Vegas
Quintuple Steps,1,Pittsburgh
Archer Steps,1,Minneapolis
Arm Rings,1,Sasuke 23 (Japan)
Floating Steps,1,Denver
Quintuple Steps,1,Dallas
Giant Ring Swing,1,Las Vegas
Slider Drop,1,Sasuke 26 (Japan)
Floating Steps,1,Minneapolis
Quintuple Steps,1,Denver
Quintuple Steps,1,San Pedro (Military)
Quintuple Steps,1,Denver
Floating Steps,1,San Antonio
Quintuple Steps,1,Orlando
Quad Steps,1,Venice
Quintuple Steps,1,Venice
Floating Steps,1,Oklahoma City
Quintuple Steps,1,Houston
Floating Steps,1,Denver
Roulette Cylinder,1,Sasuke 26 (Japan)
Rope Climb,1,Las Vegas
Quintuple Steps,1,St. Louis
Archer Steps,1,Philadelphia
Twelve Timbers,1,Sasuke 23 (Japan)
Floating Steps,1,Oklahoma City
Quintuple Steps,1,Miami
Floating Steps,1,Los Angeles
Quintuple Steps,1,Miami
Floating Steps,1,Philadelphia
Quintuple Steps,1,Orlando
Piston Road,1,Las Vegas
Quintuple Steps,1,San Pedro (Military)
Floating Steps,1,Daytona Beach
Rope Climb,1,Sasuke 26 (Japan)
Snake Run,1,Las Vegas
Quad Steps,1,Venice
Floating Steps,1,Kansas City
Quintuple Steps,1,Dallas
Giant Ring Swing,1,Las Vegas
Quintuple Steps,1,Baltimore
Keylock Hang,1,Las Vegas
Quintuple Steps,1,Kansas City
Archer Steps,1,Indianapolis
Quintuple Steps,1,Baltimore
Floating Steps,1,Indianapolis
Quad Steps,1,Northwest
Floating Steps,1,Cleveland
Quad Steps,1,Northwest
Rope Jungle,1,Las Vegas
Step Slider,1,Las Vegas
Epic Catch & Release,1,Las Vegas
Quintuple Steps,1,Venice
Floating Boards,1,Las Vegas
Rope Climb,1,Las Vegas
Quad Steps,1,Midwest
Roulette Cylinder,1,Las Vegas
Quad Steps,1,Southeast
Quad Steps,1,Southeast
Quad Steps,1,Northeast
Quintuple Steps,1,Venice
Quad Steps,1,Northeast
Slider Drop,1,Las Vegas
Quad Steps,1,Mid-South
Quad Steps,1,Mid-South
Quad Steps,1,Midwest
Rolling Pin,2,Daytona Beach
Log Grip,2,Northwest
Floating Boards,2,Las Vegas
Doorknob Grasper,2,Las Vegas
Tick Tock,2,San Antonio
Downhill Jump,2,Baltimore
Cannonball Drop,2,Los Angeles
Log Grip,2,Northwest
Propeller Bar,2,Las Vegas
Frame Slider,2,Venice
Tick Tock,2,San Antonio
Rolling Log,2,Las Vegas
Cannonball Drop,2,Los Angeles
Log Grip,2,Mid-South
Hazard Swing,2,Sasuke 26 (Japan)
Log Grip,2,Northeast
Double Twister,2,Minneapolis
Double Salmon Ladder,2,Las Vegas
Double Twister,2,Minneapolis
Log Grip,2,Northeast
Jump Hang,2,San Pedro (Military)
Log Grip,2,Midwest
Spinning Bowties,2,Philadelphia
Frame Slider,2,Venice
Spinning Bowties,2,Philadelphia
Log Grip,2,Southeast
Propeller Bar,2,Las Vegas
Log Grip,2,Midwest
En Garde,2,Las Vegas
Log Grip,2,Southeast
Fly Wheels,2,Indianapolis
Log Grip,2,Mid-South
Cannonball Drop,2,Indianapolis
Log Grip,2,Dallas
Double Salmon Ladder,2,Las Vegas
Cat Grab,2,Denver
Doorknob Grasper,2,Las Vegas
Rolling Log,2,St. Louis
Cannonball Drop,2,Miami
Salmon Ladder,2,Sasuke 23 (Japan)
Fly Wheels,2,Miami
Rolling Log,2,St. Louis
Tick Tock,2,Los Angeles
Downhill Pipe Drop,2,Miami
G-Rope,2,Sasuke 23 (Japan)
Downhill Pipe Drop,2,Miami
Tick Tock,2,Los Angeles
Tilting Slider,2,Houston
Catch & Release,2,Dallas
Double Salmon Ladder,2,Sasuke 26 (Japan)
Catch & Release,2,Dallas
Doorknob Grasper,2,Sasuke 26 (Japan)
Big Dipper,2,Atlanta
Log Grip,2,Venice
Rope Swing,2,Venice
Mini Silk Slider,2,Venice
Jumper Cables,2,Los Angeles
Log Grip,2,Venice
Big Dipper,2,Atlanta
Rope Swing,2,Venice
Jumper Cables,2,Los Angeles
Mini Silk Slider,2,Venice
Keylock Hang,2,Las Vegas
Rolling Escargot,2,Sasuke 27 (Japan)
Rolling Log,2,Indianapolis
Big Dipper,2,Kansas City
Rolling Log,2,Indianapolis
Double Salmon Ladder,2,Sasuke 27 (Japan)
Criss Cross Salmon Ladder,2,Las Vegas
Flying Bar,2,Sasuke 27 (Japan)
Propeller Bar,2,Las Vegas
Rope Swing,2,Venice
Ring Swing,2,Oklahoma City
Log Grip,2,Southwest
Criss Cross Salmon Ladder,2,Las Vegas
Big Dipper,2,Kansas City
Ring Swing,2,Denver
Log Grip,2,Southwest
Ring Swing,2,Oklahoma City
Jump Hang,2,San Pedro (Military)
Ring Swing,2,Denver
Downhill Jump,2,Baltimore
Rolling Log,2,Cleveland
Rolling Log,2,Orlando
Log Grip,2,Philadelphia
Utility Pole Slider,2,Miami
Rope Swing,2,Venice
Utility Pole Slider,2,Miami
Rolling Log,2,Cleveland
Rolling Log,2,Orlando
Log Grip,2,Philadelphia
Log Grip,2,Pittsburgh
Hang Glider,2,Kansas City
Rolling Log,2,Denver
Hang Glider,2,Kansas City
Curtain Slider,2,Sasuke 23 (Japan)
Propeller Bar,2,Las Vegas
Rolling Log,2,Denver
Descending Lamp Grasper,2,Sasuke 23 (Japan)
Log Grip,2,Pittsburgh
Rolling Pin,2,Daytona Beach
Giant Ring,2,Las Vegas
Down Up Salmon Ladder,2,Las Vegas
Doorknob Grasper,2,Las Vegas
Double Salmon Ladder,2,Las Vegas
Doorknob Grasper,2,Las Vegas
Double Salmon Ladder,2,Las Vegas
Spinning Wheel,2,Venice
Tilting Slider,2,Houston
Spinning Wheel,2,Venice
Giant Ring,2,Las Vegas
Log Grip,2,Dallas
Cat Grab,2,Denver
Fly Wheels,3,Indianapolis
Bridge of Blades,3,Venice
Deja Vu,3,Las Vegas
Slack Ladder,3,Venice
Bridge of Blades,3,Venice
Prism Tilt,3,Baltimore
Wheel Flip,3,Indianapolis
Tilting Table,3,Venice
Double Dipper,3,Las Vegas
Paddle Boards,3,Orlando
Spinning Bridge,3,San Antonio
Tilting Table,3,Dallas
Silk Slider,3,Las Vegas
Balance Bridge,3,Miami
Bouncing Spider,3,Denver
Paddle Boards,3,Orlando
Broken Bridge,3,Philadelphia
Balance Bridge,3,Miami
Broken Pipes,3,Kansas City
Cycle Road,3,Sasuke 26 (Japan)
Log Runner,3,Oklahoma City
Bridge of Blades,3,St. Louis
Wingnuts,3,Daytona Beach
Snake Crossing,3,Pittsburgh
Fly Wheels,3,Los Angeles
Unstable Bridge,3,Sasuke 26 (Japan)
Broken Bridge,3,Philadelphia
Slack Ladder,3,Venice
Crazy Clocks,3,Las Vegas
Rotating Bridge,3,Denver
Broken Pipes,3,Kansas City
Spinning Log,3,Houston
Log Runner,3,Oklahoma City
Spinning Log,3,Denver
Log Runner,3,San Pedro (Military)
Rotating Bridge,3,Denver
Bouncing Spider,3,Denver
Log Grip,3,Sasuke 23 (Japan)
Wave Runner,3,Las Vegas
Snake Crossing,3,Pittsburgh
Ring Jump,3,Minneapolis
Silk Slider,3,Las Vegas
Razor's Edge,3,Cleveland
Dancing Stones,3,Miami
Spinning Bridge,3,San Antonio
Rope Glider,3,Las Vegas
Rolling Escargot,3,Sasuke 26 (Japan)
Floating Boards,3,Las Vegas
Sky Hooks,3,Minneapolis
Dancing Stones,3,Miami
Bouncing Spider,3,Dallas
Stick Slider,3,Sasuke 23 (Japan)
Spinning Bridge,3,Los Angeles
Unstable Bridge,3,Las Vegas
Escalator,3,Los Angeles
Rolling Barrel,3,Venice
Ultimate Cliffhanger,3,Las Vegas
Spinning Log,3,Denver
Block Run,3,Atlanta
Floating Boards,3,Las Vegas
Paddle Boards,3,Philadelphia
Rolling Barrel,3,Venice
Giant Log Grip,3,Las Vegas
Floating Tiles,3,Kansas City
Bouncing Spider,3,Dallas
Spinning Log,3,Houston
Escalator,3,Los Angeles
Unstable Bridge,3,Sasuke 27 (Japan)
Razor's Edge,3,Cleveland
Giant Swing,3,Sasuke 27 (Japan)
Block Run,3,Atlanta
Tilting Table,3,Venice
Bridge of Blades,3,Venice
Unstable Bridge,3,Las Vegas
Spinning Bridge,3,Los Angeles
Ultimate Cliffhanger,3,Sasuke 27 (Japan)
Wingnuts,3,Daytona Beach
Floating Tiles,3,Kansas City
Razor's Edge,3,Miami
Bridge of Blades,3,St. Louis
Floating Boards,3,Las Vegas
Spinning Log,3,Southwest
Nail Clipper,3,Las Vegas
Log Runner,3,San Pedro (Military)
Fly Wheels,3,Los Angeles
Bridge of Blades,3,Venice
Razor's Edge,3,Miami
Spinning Log,3,Southwest
Double Dipper,3,Las Vegas
Tilting Table,3,Dallas
Fly Wheels,3,Indianapolis
Floating Boards,3,Las Vegas
Devil Steps,3,Sasuke 23 (Japan)
Bridge of Blades,3,Midwest
Unstable Bridge,3,Las Vegas
Prism Tilt,3,Baltimore
Wave Runner,3,Las Vegas
Bungee Bridge,3,Northeast
Wheel Flip,3,Indianapolis
Bungee Bridge,3,Northeast
Paddle Boards,3,Philadelphia
Spinning Log,3,Northwest
Spinning Log,3,Northwest
Domino Hill,3,Venice
Bridge of Blades,3,Mid-South
Bridge of Blades,3,Mid-South
Bungee Bridge,3,Southeast
Bridge of Blades,3,Midwest
Bungee Bridge,3,Southeast
Giant Swing,3,Las Vegas
Domino Hill,3,Venice
Unstable Bridge,3,Las Vegas
Shin Cliffhanger,4,Sasuke 23 (Japan)
Jump Hang,4,Northeast
Jumping Spider,4,Venice
Jump Hang,4,Midwest
Jumping Spider,4,Venice
Jump Hang,4,Southeast
Jumping Spider,4,Sasuke 26 (Japan)
Jump Hang,4,Northwest
Monkey Pegs,4,San Pedro (Military)
Jump Hang,4,Southeast
Jumping Spider,4,Las Vegas
Jump Hang,4,Northwest
Butterfly Wall,4,Las Vegas
Jump Hang,4,Midwest
Ultimate Cliffhanger,4,Las Vegas
Ultimate Cliffhanger,4,Las Vegas
Ring Jump,4,Los Angeles
Jump Hang,4,Northeast
Ring Jump,4,Los Angeles
Floating Chains,4,Venice
Spin Cycle,4,Atlanta
Balance Tank,4,Las Vegas
Spin Cycle,4,Atlanta
Jump Hang,4,Mid-South
Disc Runner,4,Indianapolis
Swing Jump,4,Baltimore
Disc Runner,4,Indianapolis
Jumping Spider,4,Las Vegas
Tire Swing,4,Oklahoma City
Floating Chains,4,Venice
Tire Swing,4,Oklahoma City
Jump Hang,4,Mid-South
Wall Drop,4,Philadelphia
Jump Hang,4,Venice
Wall Drop,4,Philadelphia
Spin Cycle,4,Venice
Jumping Spider,4,Las Vegas
Jumping Spider,4,Las Vegas
Butterfly Wall,4,Las Vegas
Jumping Spider,4,Sasuke 23 (Japan)
Curved Body Prop,4,Las Vegas
Swing Jump,4,Baltimore
Block Run,4,Los Angeles
Ultimate Cliffhanger,4,Las Vegas
Block Run,4,Los Angeles
Tire Swing,4,Orlando
Sky Hooks,4,San Antonio
Balance Tank,4,Sasuke 27 (Japan)
Sky Hooks,4,San Antonio
Jumping Bars into Cargo Net,4,Venice
Broken Bridge,4,Daytona Beach
Spin Cycle,4,Venice
Broken Bridge,4,Daytona Beach
Tire Swing,4,Orlando
Crank It Up,4,Kansas City
Monkey Pegs,4,San Pedro (Military)
Crank It Up,4,Kansas City
Spikes Into Cargo Net,4,Denver
Ring Jump,4,Cleveland
Jumping Spider,4,Venice
Ring Jump,4,Cleveland
Slider Jump,4,Miami
Paddle Boards,4,Denver
Cargo Crossing,4,Houston
Paddle Boards,4,Denver
Jump Hang,4,Venice
Jumping Spider,4,Las Vegas
Ultimate Cliffhanger,4,Sasuke 26 (Japan)
Swing Surfer,4,Las Vegas
Jumping Spider,4,Las Vegas
Ultimate Cliffhanger,4,Las Vegas
Spikes Into Cargo Net,4,Denver
Sky Hooks,4,Los Angeles
Slider Jump,4,Miami
Flying Shelf Grab,4,Los Angeles
Jump Hang,4,Miami
Tuning Forks,4,Dallas
Balance Tank,4,Las Vegas
Broken Bridge,4,Dallas
Balance Tank,4,Sasuke 26 (Japan)
Ring Turn,4,Miami
Wind Chimes,4,Pittsburgh
Ring Turn,4,Miami
Jump Hang,4,Southwest
Block Run,4,Indianapolis
Swing Jump,4,Dallas
Block Run,4,Indianapolis
Butterfly Wall,4,Las Vegas
Wingnuts,4,Philadelphia
Rope Swing Into Cargo Net,4,St. Louis
Wingnuts,4,Philadelphia
Jump Hang,4,Southwest
Diamond Dash,4,Minneapolis
Jump Hang Kai,4,Denver
Diamond Dash,4,Minneapolis
